,Data,Hora,P1.1.1 V (V),P1.1.2 V (V),P1.1.3 V (V),P1.1.4 V (V),P1.1.5 V (V),P1.1.6 V (V),P1.1.7 V (V),P1.1.8 V (V),P1.1.9 V (V),P1.1.10 V (V),P1.1.11 V (V),P1.1.12 V (V),P1.1.13 V (V),P1.1.14 V (V),P1.1.15 V (V),P1.1.16 V (V),P1.2.1 V (V),P1.2.2 V (V),P1.2.3 V (V),P1.2.4 V (V),P1.2.5 V (V),P1.2.6 V (V),P1.2.7 V (V),P1.2.8 V (V),P1.2.9 V (V),P1.2.10 V (V),P1.2.11 V (V),P1.2.12 V (V),P1.2.13 V (V),P1.2.14 V (V),P1.2.15 V (V),P1.2.16 V (V),P1.3.1 V (V),P1.3.2 V (V),P1.3.3 V (V),P1.3.4 V (V),P1.3.5 V (V),P1.3.6 V (V),P1.3.7 V (V),P1.3.8 V (V),P1.3.9 V (V),P1.3.10 V (V),P1.3.11 V (V),P1.3.12 V (V),P1.3.13 V (V),P1.3.14 V (V),P1.3.15 V (V),P1.3.16 V (V)
20,2021-08-03,11:00:00,63.458333333333336,65.875,62.59375,63.90625,63.416666666666664,64.3125,61.25,64.375,67.1875,63.5625,65.0625,65.8125,65.875,64.875,65.25,65.5625,63.3125,63.833333333333336,63.333333333333336,64.33333333333333,63.583333333333336,63.8125,64.75,64.20833333333333,63.25,64.20833333333333,65.0,63.708333333333336,63.875,65.16666666666667,64.625,64.75,62.6875,64.84375,63.875,62.5,63.1875,62.8125,62.916666666666664,61.6875,62.25,63.166666666666664,64.6875,62.208333333333336,62.458333333333336,62.4375,63.583333333333336,63.9375
21,2021-08-03,11:15:00,64.375,64.125,62.875,0.0,63.083333333333336,62.125,62.0625,62.583333333333336,65.33333333333333,63.458333333333336,63.458333333333336,65.0625,65.125,64.20833333333333,64.5,66.25,62.625,62.75,62.666666666666664,64.0,62.625,64.0,65.04166666666667,63.6875,63.625,63.8125,64.04166666666667,63.8125,63.916666666666664,64.58333333333333,63.791666666666664,64.08333333333333,63.583333333333336,65.0,64.25,62.625,62.4375,63.25,62.0,61.0625,61.625,63.083333333333336,63.0,62.4375,61.583333333333336,63.291666666666664,64.04166666666667,64.75
22,2021-08-03,11:30:00,64.91666666666667,65.1875,64.20833333333333,64.5,64.45833333333333,63.75,63.916666666666664,63.75,66.125,64.875,65.1875,67.6875,66.5,65.5625,65.1875,67.1875,64.625,64.20833333333333,64.83333333333333,65.5,65.33333333333333,65.125,65.95833333333333,65.75,65.375,63.875,64.84375,64.65625,64.79166666666667,64.375,65.875,65.5,64.75,66.5625,65.16666666666667,64.16666666666667,64.58333333333333,63.916666666666664,63.3125,63.166666666666664,63.25,63.333333333333336,64.29166666666667,63.4375,63.583333333333336,64.58333333333333,65.6875,64.875
23,2021-08-03,11:45:00,64.91666666666667,64.83333333333333,64.1875,64.375,63.8125,64.1875,63.75,63.90625,66.04166666666667,65.625,64.5,65.84375,66.45833333333333,65.5625,65.3125,67.125,64.125,64.41666666666667,64.125,65.375,65.375,65.83333333333333,65.54166666666667,65.29166666666667,64.75,65.125,64.3125,64.8125,64.75,65.33333333333333,65.5,65.75,64.375,65.95833333333333,64.25,63.708333333333336,63.5,63.75,64.25,63.5,63.041666666666664,63.416666666666664,64.0,64.29166666666667,63.333333333333336,63.791666666666664,64.625,65.125
24,2021-08-03,12:00:00,64.54166666666667,65.3125,64.91666666666667,63.5,64.125,64.3125,62.75,64.9375,66.0625,65.125,63.916666666666664,65.0,66.04166666666667,66.375,65.83333333333333,66.0625,62.875,65.91666666666667,64.25,64.33333333333333,64.45833333333333,65.125,63.75,65.625,64.16666666666667,64.54166666666667,63.4375,64.6875,64.625,65.1875,64.5,63.5,64.95833333333333,65.96875,64.875,62.9375,63.166666666666664,63.333333333333336,61.9375,65.0625,62.583333333333336,64.25,63.333333333333336,63.375,61.375,64.79166666666667,64.54166666666667,64.375
25,2021-08-03,12:15:00,65.5,68.125,64.70833333333333,68.875,64.16666666666667,64.33333333333333,64.0625,64.45833333333333,66.5625,68.1875,65.3125,66.25,66.875,63.0625,65.125,68.66666666666667,64.0625,64.33333333333333,65.375,65.375,67.8125,65.45833333333333,65.0625,64.58333333333333,66.25,65.45833333333333,64.875,65.125,64.625,63.875,69.25,68.875,65.20833333333333,66.4375,65.375,63.625,66.45833333333333,63.875,67.375,63.625,62.1875,65.28125,63.666666666666664,64.33333333333333,63.416666666666664,64.875,65.0625,65.8125
26,2021-08-03,12:30:00,66.375,66.9375,66.79166666666667,68.625,66.95833333333333,67.25,66.20833333333333,66.375,68.8125,67.375,67.0,68.5,68.33333333333333,68.0,67.95833333333333,69.0625,66.28125,66.79166666666667,67.125,67.0,67.33333333333333,67.16666666666667,67.8125,66.70833333333333,66.8125,66.83333333333333,66.75,66.625,67.33333333333333,67.78125,70.08333333333333,67.875,67.0,68.45833333333333,66.54166666666667,66.3125,66.3125,67.0,66.125,66.125,65.3125,65.875,66.625,67.4375,66.375,67.70833333333333,67.4375,67.3125
27,2021-08-03,12:45:00,67.75,68.5,66.79166666666667,68.3125,66.95833333333333,68.125,66.0,67.20833333333333,68.375,67.625,67.20833333333333,68.41666666666667,68.625,67.58333333333333,67.75,69.33333333333333,66.375,66.625,66.3125,68.04166666666667,67.1875,67.875,68.04166666666667,67.4375,67.9375,67.20833333333333,66.95833333333333,67.625,67.875,67.9375,69.20833333333333,68.0,67.04166666666667,68.70833333333333,67.6875,66.08333333333333,66.875,67.125,65.9375,66.66666666666667,66.16666666666667,65.95833333333333,67.54166666666667,67.0,66.41666666666667,67.79166666666667,68.54166666666667,68.45833333333333
28,2021-08-03,13:00:00,68.04166666666667,68.75,68.375,68.79166666666667,68.5625,68.1875,67.75,68.3125,69.33333333333333,68.8125,68.33333333333333,70.125,69.83333333333333,68.5625,68.0,70.70833333333333,67.91666666666667,67.5,68.125,68.8125,68.83333333333333,68.625,69.25,68.84375,68.0,69.375,68.6875,67.8125,68.5,70.20833333333333,71.5,70.125,68.375,69.0,69.1875,67.91666666666667,68.25,67.91666666666667,67.5625,67.9375,67.29166666666667,68.45833333333333,67.875,68.3125,67.41666666666667,69.125,69.75,69.79166666666667
29,2021-08-03,13:15:00,68.125,69.6875,68.875,69.83333333333333,68.75,68.75,68.375,67.91666666666667,69.0,68.9375,68.83333333333333,69.5,69.79166666666667,68.875,69.16666666666667,69.375,67.75,67.9375,68.75,69.79166666666667,68.9375,68.58333333333333,70.0625,69.5,68.91666666666667,70.20833333333333,69.1875,69.4375,68.54166666666667,69.41666666666667,70.75,68.66666666666667,0.0,69.5625,69.58333333333333,68.375,67.8125,68.375,67.625,68.70833333333333,67.5625,67.5,68.375,68.375,68.5,68.79166666666667,69.66666666666667,69.45833333333333
30,2021-08-03,13:30:00,68.83333333333333,70.08333333333333,69.125,69.58333333333333,68.875,69.6875,68.5625,68.375,70.16666666666667,69.375,70.125,70.1875,70.28125,70.29166666666667,70.46875,70.125,68.20833333333333,67.75,69.20833333333333,70.0,70.04166666666667,69.8125,70.08333333333333,69.83333333333333,0.0,70.33333333333333,69.28125,70.08333333333333,69.625,70.54166666666667,73.0625,69.58333333333333,68.65625,69.91666666666667,69.5625,68.66666666666667,69.75,68.59375,68.625,68.875,68.4375,68.91666666666667,68.9375,69.41666666666667,68.91666666666667,69.95833333333333,71.125,69.70833333333333
31,2021-08-03,13:45:00,68.625,69.9375,68.375,69.75,68.83333333333333,69.375,69.04166666666667,69.5,69.70833333333333,69.0625,69.4375,70.1875,0.0,69.70833333333333,69.5,70.15625,68.8125,69.25,68.625,70.03125,69.625,69.9375,69.0,69.29166666666667,69.3125,69.5625,69.9375,69.5,70.125,71.875,72.66666666666667,69.83333333333333,69.5625,70.29166666666667,69.29166666666667,68.66666666666667,68.9375,68.875,68.0625,69.375,68.29166666666667,68.875,69.375,68.625,68.6875,70.0,71.375,70.33333333333333
