,Data,Hora,OP1.1.1 V (V),OP1.1.2 V (V),OP1.1.3 V (V),OP1.1.4 V (V),OP1.1.5 V (V),OP1.1.6 V (V),OP1.1.7 V (V),OP1.1.8 V (V),OP1.1.9 V (V),OP1.1.10 V (V),OP1.1.11 V (V),OP1.1.12 V (V),OP1.1.13 V (V),OP1.1.14 V (V),OP1.1.15 V (V),OP1.1.16 V (V),OP1.2.1 V (V),OP1.2.2 V (V),OP1.2.3 V (V),OP1.2.4 V (V),OP1.2.5 V (V),OP1.2.6 V (V),OP1.2.7 V (V),OP1.2.8 V (V),OP1.2.9 V (V),OP1.2.10 V (V),OP1.2.11 V (V),OP1.2.12 V (V),OP1.2.13 V (V),OP1.2.14 V (V),OP1.2.16 V (V),OP1.3.2 V (V),OP1.3.3 V (V),OP1.3.4 V (V),OP1.3.5 V (V),OP1.3.6 V (V),OP1.3.7 V (V),OP1.3.8 V (V),OP1.3.9 V (V),OP1.3.10 V (V),OP1.3.11 V (V),OP1.3.12 V (V),OP1.3.13 V (V),OP1.3.14 V (V),OP1.3.15 V (V),OP1.3.16 V (V)
20,2021-05-29,11:00:00,46.916666666666664,46.9375,46.666666666666664,47.125,46.6875,46.625,46.0,44.75,47.958333333333336,47.666666666666664,47.041666666666664,48.625,47.416666666666664,47.15625,46.958333333333336,47.1875,52.958333333333336,53.458333333333336,53.666666666666664,53.25,53.5625,54.083333333333336,53.5,52.75,54.0625,52.166666666666664,47.208333333333336,54.458333333333336,54.75,4.5,54.291666666666664,51.75,51.416666666666664,51.3125,51.541666666666664,51.125,50.958333333333336,51.6875,51.8125,51.0,51.333333333333336,51.625,51.875,30.0,3.9583333333333335,52.291666666666664
21,2021-05-29,11:15:00,46.5,46.791666666666664,46.625,46.625,46.375,46.458333333333336,45.875,46.0,48.25,47.75,47.4375,48.041666666666664,47.71875,47.4375,47.166666666666664,47.333333333333336,52.541666666666664,53.4375,53.3125,53.166666666666664,53.0,53.791666666666664,53.0625,52.375,53.625,51.875,51.041666666666664,53.8125,53.916666666666664,6.541666666666667,54.0625,51.375,50.875,50.708333333333336,51.166666666666664,50.25,50.75,51.5625,51.458333333333336,50.65625,50.708333333333336,51.1875,51.375,34.125,3.8125,51.875
22,2021-05-29,11:30:00,46.375,46.5,46.375,46.5,46.1875,46.125,45.40625,45.625,48.53125,48.041666666666664,47.6875,48.375,47.875,47.875,47.5,47.708333333333336,52.125,53.083333333333336,52.875,52.833333333333336,52.625,53.0625,52.5625,52.208333333333336,53.166666666666664,51.375,51.0625,53.46875,53.375,13.875,53.5,51.125,50.5,50.583333333333336,50.8125,49.833333333333336,50.21875,50.8125,51.125,50.1875,50.4375,50.75,50.958333333333336,39.583333333333336,3.6875,51.5
23,2021-05-29,11:45:00,45.958333333333336,46.125,46.041666666666664,46.0625,45.833333333333336,45.833333333333336,45.375,45.416666666666664,48.8125,48.375,48.0625,48.75,48.25,48.041666666666664,47.791666666666664,47.958333333333336,51.75,52.5,52.625,52.375,52.25,52.75,52.25,51.6875,52.625,51.25,50.75,52.875,52.875,18.5,52.833333333333336,50.875,50.333333333333336,50.0625,50.5,49.5625,50.1875,50.666666666666664,50.666666666666664,49.8125,49.875,50.541666666666664,50.541666666666664,45.125,3.4583333333333335,51.208333333333336
24,2021-05-29,12:00:00,45.6875,46.0625,45.625,45.75,45.458333333333336,45.5,44.958333333333336,45.0625,49.083333333333336,48.75,48.5,49.0625,48.458333333333336,48.416666666666664,48.125,48.291666666666664,51.333333333333336,52.125,52.25,52.166666666666664,51.916666666666664,52.333333333333336,51.9375,51.375,52.416666666666664,50.84375,50.3125,52.583333333333336,52.666666666666664,23.416666666666668,52.583333333333336,50.25,49.8125,49.5,49.90625,49.083333333333336,49.25,50.041666666666664,50.0,49.208333333333336,49.583333333333336,49.875,49.8125,46.583333333333336,9.583333333333334,50.708333333333336
25,2021-05-29,12:15:00,45.5625,45.5625,45.458333333333336,45.5,45.291666666666664,45.958333333333336,44.791666666666664,44.75,49.291666666666664,49.625,48.625,49.375,48.75,48.541666666666664,48.40625,48.541666666666664,51.083333333333336,51.916666666666664,52.1875,51.8125,51.541666666666664,52.125,51.625,51.166666666666664,52.291666666666664,50.791666666666664,50.208333333333336,52.28125,52.3125,26.833333333333332,52.125,49.958333333333336,49.333333333333336,49.0,49.5625,48.75,49.041666666666664,49.6875,49.5,48.625,48.833333333333336,49.375,49.375,47.5625,14.916666666666666,50.0625
26,2021-05-29,12:30:00,45.125,45.25,44.96875,45.0,45.0625,45.083333333333336,44.6875,44.5,49.666666666666664,49.208333333333336,48.958333333333336,49.833333333333336,49.083333333333336,48.75,0.0,48.958333333333336,50.625,51.541666666666664,52.0,51.5,51.3125,51.75,51.5,51.041666666666664,52.166666666666664,50.708333333333336,50.166666666666664,51.75,51.833333333333336,30.333333333333332,51.541666666666664,49.75,48.875,48.583333333333336,49.125,48.458333333333336,48.916666666666664,49.5,49.25,47.9375,48.375,49.0625,48.84375,48.083333333333336,19.458333333333332,49.625
27,2021-05-29,12:45:00,44.9375,44.875,44.5,44.791666666666664,44.6875,44.666666666666664,44.25,44.0625,49.958333333333336,49.4375,49.375,50.166666666666664,49.416666666666664,49.041666666666664,48.875,49.21875,50.3125,51.166666666666664,51.583333333333336,51.166666666666664,51.0,51.333333333333336,51.0625,50.791666666666664,51.958333333333336,50.458333333333336,49.791666666666664,51.5,51.4375,34.791666666666664,50.9375,49.5625,48.59375,48.125,0.0,48.166666666666664,48.583333333333336,49.208333333333336,48.9375,47.666666666666664,48.0625,48.791666666666664,48.4375,47.625,24.666666666666668,49.375
28,2021-05-29,13:00:00,44.6875,44.5,44.0,44.375,44.375,44.15625,43.9375,43.875,50.28125,49.708333333333336,49.541666666666664,50.4375,49.78125,49.375,49.375,49.625,49.958333333333336,50.75,51.25,50.75,50.5,50.958333333333336,50.875,50.666666666666664,51.625,50.291666666666664,49.666666666666664,51.4375,51.1875,38.416666666666664,50.625,49.4375,48.3125,48.0,48.583333333333336,47.9375,48.458333333333336,48.916666666666664,48.5,47.125,47.666666666666664,48.375,48.041666666666664,47.375,28.291666666666668,49.166666666666664
29,2021-05-29,13:15:00,44.333333333333336,43.9375,43.6875,44.0,43.875,43.6875,43.46875,43.583333333333336,50.5625,49.9375,50.0,50.9375,50.1875,49.833333333333336,49.75,50.0,48.083333333333336,49.34375,49.5,49.083333333333336,48.78125,48.5,49.125,48.916666666666664,49.25,48.875,47.125,48.625,50.25,40.25,49.25,49.125,48.083333333333336,47.875,48.375,47.875,48.291666666666664,48.625,48.25,46.9375,47.125,48.083333333333336,47.75,47.208333333333336,30.75,49.0625
