,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
20,2021-06-06,11:00:00,6.206266666666667,6.27815,6.28125,6.318766666666666,6.3187999999999995,6.233366666666666,6.264566666666667,6.2280999999999995,5.7104,6.6312,6.370833333333334,6.495324999999999,6.40315,6.308333333333333,6.16875,6.389600000000001,6.540649999999999,6.206266666666667,6.25,6.295833333333333,6.422933333333333,5.122933333333333,6.2875,6.4375,6.493766666666666,5.039633333333334,6.65935,5.431233333333334,0.8859750000000001,0.6729333333333334,6.604675,5.96875,6.283366666666666,6.214074999999999,6.1020666666666665,5.758333333333333,5.9719,6.35625,5.2229,6.110466666666667,6.091666666666666,6.53125,6.1646,2.566666666666667,1.0094,6.2813
21,2021-06-06,11:15:00,4.470833333333334,4.495866666666667,6.156266666666667,4.556266666666667,6.4896,5.40625,3.51875,6.1813,3.0396,4.741666666666666,6.45625,6.7156,6.4750000000000005,4.654166666666667,6.587466666666667,6.48435,6.558333333333334,4.7396,5.7719000000000005,3.8125,3.49375,6.6020666666666665,6.67495,1.2063,4.854166666666667,3.21875,4.350033333333333,3.71875,1.0687333333333333,0.5969,6.75,5.9417,4.5271,3.9438,5.008333333333334,6.637533333333333,6.366699999999999,6.09685,6.48435,3.5583333333333336,2.99065,3.7124666666666664,5.047933333333334,3.1625,0.7562666666666668,6.0375000000000005
22,2021-06-06,11:30:00,3.25,3.470866666666667,3.10625,3.0688,2.8166666666666664,2.40315,3.67185,3.1458666666666666,2.7406,3.181266666666667,3.8541666666666665,2.1812666666666667,1.5344,4.093766666666666,3.508366666666667,3.1999999999999997,2.95935,3.37345,3.1562666666666668,1.8582999999999998,2.2531499999999998,2.1208666666666667,1.2375500000000001,3.753125,3.3541666666666665,3.55,3.5271333333333335,4.804166666666666,1.47815,1.0083666666666666,3.5312666666666668,2.5875333333333335,4.339074999999999,2.125033333333333,4.43125,3.34065,2.9103999999999997,3.975,2.3771,1.7313,1.8792,3.33125,4.58435,0.9875,1.0375333333333334,2.1354333333333333
23,2021-06-06,11:45:00,3.6291666666666664,3.8042,2.2125,4.993766666666667,2.841666666666667,3.3854333333333333,2.4271,1.225,3.627133333333333,2.9292,2.6771,3.360433333333333,4.51565,1.1343999999999999,3.5938,3.1667000000000005,3.5124999999999997,1.5063,5.306266666666667,3.01255,1.5562666666666667,1.5854333333333333,4.096875,1.75,3.475,1.8145999999999998,4.7422,3.1937666666666664,0.8854333333333333,0.5562666666666667,2.25,1.21255,1.8937499999999998,1.01565,3.6125333333333334,3.743733333333333,4.2297,1.4281,3.9812499999999997,2.9563,1.5375,3.7765750000000002,2.9562666666666666,2.42185,1.46405,2.6292000000000004
24,2021-06-06,12:00:00,4.20625,3.516666666666667,5.259399999999999,6.5594,5.089566666666666,4.720866666666667,5.179166666666666,5.108333333333333,5.3792,6.078125,3.5708333333333333,3.7229333333333336,7.15005,5.968775,4.5563,7.058333333333333,3.6521000000000003,4.2280999999999995,4.1281,5.760433333333334,4.995866666666667,4.4187666666666665,6.2,4.754675,3.8771,4.237533333333333,4.71875,5.833366666666667,2.7344,1.5906500000000001,5.4271,4.635433333333332,6.154166666666666,4.0531,4.25315,5.4021,6.5938,4.184374999999999,1.8563,4.6875,6.5687,4.459350000000001,6.591633333333333,4.485950000000001,1.4094,5.801575
25,2021-06-06,12:15:00,1.9208666666666667,4.922933333333334,3.3645666666666667,3.195866666666667,2.0062666666666664,4.0344,3.8375,4.9104,3.3562666666666665,1.9813,6.675,3.9354333333333336,4.081266666666667,1.45,4.3094,4.510975,3.3500333333333336,4.595833333333333,5.656266666666667,4.20315,3.1167000000000002,3.9250333333333334,3.3125,4.368733333333333,3.7396,1.9875333333333334,6.806233333333334,5.068733333333333,2.7229333333333336,0.9625,6.8094,3.9875,4.808333333333333,4.550033333333333,4.604166666666667,5.860433333333333,3.110433333333333,4.2125,3.1291666666666664,5.895866666666667,3.025033333333333,4.0094,4.4375,3.7844,1.2583333333333333,1.4875500000000001
26,2021-06-06,12:30:00,3.6078249999999996,3.07815,5.574999999999999,6.175,4.5188,6.302066666666666,6.307825,1.33755,6.445866666666666,5.01875,4.8354333333333335,6.956266666666667,5.235433333333334,5.035433333333334,5.116666666666666,6.69375,5.8416999999999994,4.172933333333334,5.529166666666666,5.041666666666667,6.658333333333334,6.997933333333333,5.089633333333333,6.818766666666666,4.824966666666667,6.652066666666667,5.422899999999999,5.590625,3.2646,0.85625,4.165649999999999,3.456266666666666,5.854166666666667,6.375,3.8646,4.725033333333333,4.039633333333334,4.0219000000000005,3.5813,6.304166666666667,4.2187,6.512466666666666,3.6770666666666667,4.307825,1.53125,4.998449999999999
27,2021-06-06,12:45:00,5.90935,4.4417,5.85625,4.406266666666666,4.321875,4.4354000000000005,3.5375,3.993766666666667,3.3187666666666664,4.0188,6.6125,3.5833333333333335,4.920833333333333,6.4375,4.133333333333333,6.631266666666666,1.3563,6.570833333333333,4.766666666666667,1.48125,4.827100000000001,3.82815,2.9187666666666665,4.9792,6.6479,6.535433333333334,6.791633333333333,6.7469,2.9187666666666665,0.7104666666666667,3.95625,3.60625,5.6906,4.645833333333334,4.341666666666666,4.5375,3.5406,3.75,4.306266666666667,5.893766666666667,2.779166666666667,3.0874666666666664,4.3021,4.10625,1.8344,5.925
28,2021-06-06,13:00:00,4.918733333333333,6.125,4.747933333333333,6.50625,3.1375,4.4219,3.875,4.76565,5.431233333333334,5.520833333333333,6.941666666666666,7.066666666666666,6.604166666666667,5.0375000000000005,5.333333333333333,6.7812,6.843766666666667,5.470833333333332,6.889600000000001,5.26565,6.7104,6.931266666666667,6.758333333333333,7.4062,7.1375,6.333333333333333,5.329166666666667,5.495833333333334,6.62815,1.2583333333333333,6.895833333333333,4.00005,6.3520666666666665,4.631266666666667,3.9499999999999997,5.952100000000001,4.864566666666667,0.0,4.631266666666666,6.229166666666667,4.7124999999999995,4.4047,5.808333333333334,5.018766666666666,2.5937666666666668,6.2749999999999995
29,2021-06-06,13:15:00,2.451575,4.275033333333333,1.4271,1.5458666666666667,3.425,3.016666666666667,1.4,1.3979666666666664,1.7167000000000001,1.7063,3.15,2.789075,1.7125000000000001,3.0979666666666668,1.5094,1.75315,1.6219000000000001,1.5219,1.5396,3.93125,1.5979333333333334,1.5042,1.46255,2.854725,3.5875,1.5833333333333333,1.6063,2.8249999999999997,1.4979333333333333,1.3312666666666666,3.1125333333333334,1.3625,3.47815,1.4333,3.36565,1.6417000000000002,3.4297,1.6583666666666665,1.29375,1.6104333333333336,2.7875,4.214566666666666,2.6958333333333333,1.325,1.425,1.4062999999999999
30,2021-06-06,13:30:00,4.7625,4.75,4.158333333333334,4.9047,4.3625,4.2188,4.75,4.631233333333333,5.847933333333333,5.762533333333334,5.7729333333333335,5.6968499999999995,5.634399999999999,5.2500333333333336,5.258366666666666,5.5344,5.781233333333333,5.331266666666667,4.8104000000000005,5.600033333333333,5.547933333333333,5.6625000000000005,4.554200000000001,5.275,5.0854333333333335,4.6499999999999995,5.556274999999999,5.7896,3.3271333333333337,0.4937666666666667,5.54685,4.7375,4.868733333333334,4.712533333333333,4.7905999999999995,4.9453499999999995,4.6594,4.706266666666667,4.175,4.7797,4.64065,4.2719000000000005,4.2344,4.7896,2.2604333333333333,4.831266666666667
31,2021-06-06,13:45:00,2.9479333333333333,2.7437333333333336,3.1719,1.5093999999999999,1.6875499999999999,3.0187500000000003,1.44065,4.09065,3.4125333333333336,3.6562666666666668,4.410433333333334,3.825025,0.0,1.8646,4.316666666666666,4.3999999999999995,3.8390750000000002,3.204166666666667,3.158333333333333,4.1937999999999995,1.9666666666666668,3.1520666666666664,3.6563,3.9219,3.5187666666666666,3.81875,1.9594,4.550025,2.6020666666666665,0.7521,3.3625000000000003,2.7750333333333335,3.3719,3.235433333333333,2.5958666666666663,2.9645999999999995,3.000033333333333,2.756233333333333,1.7938,3.4187666666666665,2.4375,3.345833333333333,2.4125,2.0125,1.9520999999999997,2.7999999999999994
32,2021-06-06,14:00:00,4.177066666666667,4.1328,3.99065,4.195833333333334,4.114599999999999,4.1422,4.0854,4.037525,5.12815,5.131266666666666,5.1333,5.2438,5.120833333333334,5.0,5.0375,5.1188,5.09375,5.033366666666667,4.914599999999999,4.991700000000001,4.9354000000000005,5.03125,4.8770999999999995,5.206233333333333,5.3281,5.1125,5.258333333333333,5.12815,3.9708333333333337,0.475,5.1062666666666665,4.035433333333334,4.1469000000000005,4.179166666666666,4.025033333333333,4.2375,4.068766666666667,4.145833333333333,3.9312749999999994,4.07815,3.9625,4.275,4.033333333333334,4.145866666666667,2.6271,4.133366666666666
33,2021-06-06,14:15:00,3.9,3.95315,3.71565,3.9,3.975,3.7812,3.8333666666666666,3.73125,5.07815,4.9271,4.9750000000000005,4.999999999999999,4.9125000000000005,4.82815,4.65315,4.933333333333334,4.8937,4.945325,4.9563,4.804166666666666,4.7031,4.860433333333334,4.610433333333333,4.9625,5.1188,4.8500000000000005,4.958333333333333,5.034375,3.9416666666666664,0.5583666666666667,4.9021,3.74065,3.9917,3.8625000000000003,3.7531499999999998,3.89065,3.7938,3.9390750000000003,3.8729666666666667,3.8344,3.8344,4.006266666666666,3.7625333333333333,3.8281,2.6125,3.8791999999999995
34,2021-06-06,14:30:00,3.375,3.664633333333333,3.2521,3.36565,3.66255,3.5,3.3438,3.443766666666667,4.4844,4.575,4.547933333333333,4.6844,4.6094,4.389566666666666,4.2625,4.556299999999999,4.406299999999999,4.384399999999999,4.62185,4.5656,4.2375,4.357825,4.389600000000001,4.540625,4.7312666666666665,4.409375,4.5672,4.3875,3.8219,0.6563,4.435433333333333,3.397933333333333,3.5542000000000002,3.2625,3.3062500000000004,3.4828,3.1938,3.38755,3.2313,3.4875000000000003,3.5531,3.56095,3.22815,3.3719,2.4896333333333334,3.6625
35,2021-06-06,14:45:00,2.993766666666667,3.007825,2.7469,3.033366666666667,3.0021,3.09065,2.8562666666666665,2.868766666666667,4.124999999999999,4.1125,4.108333333333333,4.170833333333333,4.1125,3.9646000000000003,4.05,4.025,4.056266666666667,4.031266666666666,0.0,4.066666666666667,3.9313,3.94685,3.8875333333333333,4.068766666666666,4.239566666666667,4.06875,4.09685,4.145866666666667,3.3729333333333336,0.4792,4.014600000000001,2.8156499999999998,3.0469,2.8656,2.71875,3.01565,2.9093999999999998,3.0729333333333333,2.8937333333333335,2.960433333333333,2.9312333333333336,2.95,2.79375,2.89065,2.162533333333333,2.993766666666667
36,2021-06-06,15:00:00,2.6593999999999998,2.6219,2.3969,2.6521000000000003,2.6083333333333334,2.6229333333333336,2.5343999999999998,2.5042,3.7604333333333333,3.7916333333333334,3.735433333333333,3.875,3.6937666666666664,3.577066666666667,3.589633333333333,3.9062,3.6542,3.6687999999999996,3.6604000000000005,3.6312666666666664,3.556266666666667,3.6958333333333333,3.5500000000000003,3.8094,3.7812,3.7271,3.7047000000000003,3.7541999999999995,3.047933333333333,0.49375,3.5750000000000006,2.5604333333333336,2.6719,2.5500333333333334,2.4188,2.7229333333333336,2.529166666666667,2.56875,2.525,2.4969,2.4640750000000002,2.6906749999999997,2.40315,2.631266666666667,1.8875,2.6042
