,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
20,2021-12-04,11:00:00,488.80390000000006,498.59455,486.68905,504.24663333333336,491.85705,499.0117,495.25315,489.99713333333335,509.58436666666665,501.7226666666666,493.8578,506.5727,499.4711,487.70730000000003,485.1406,494.09349999999995,489.4700666666667,500.2448,490.34805000000006,493.01622499999996,494.5297,502.1666333333333,485.16226666666665,503.98516666666666,505.7622333333333,483.8885666666667,503.01095,498.45295,484.18532500000003,392.56915000000004,493.0552,479.55,504.46720000000005,494.7833333333333,493.9429666666667,490.4863,500.7591333333333,492.30780000000004,505.1765333333333,491.6844,481.58723333333336,479.8070333333333,502.9289,479.76956666666666,484.6495,489.8177,490.46875
21,2021-12-04,11:15:00,491.64845,501.1666666666667,487.51066666666674,505.1562,494.0207,500.46895,496.7302333333334,490.0324,517.21875,507.83125,500.45806666666664,511.78206666666665,503.91245,495.83595,493.3976333333333,499.65819999999997,497.92965000000004,506.32385,498.83126666666664,499.70820000000003,500.5664,505.325,491.65975000000003,509.9715,513.8507666666667,493.84455,512.8984333333333,506.75,490.886,396.34335,499.23199999999997,484.42293333333333,508.80075,496.19533333333334,494.77734999999996,493.2352,504.15363333333335,492.2312,505.3781333333333,492.101175,481.51800000000003,481.4578333333333,506.26914999999997,481.45529999999997,487.11746666666664,492.47839999999997,494.73019999999997
22,2021-12-04,11:30:00,488.3575666666666,500.0289333333333,485.21250000000003,502.4078333333334,492.16485,497.44730000000004,491.9617333333333,487.1539,521.0438,510.14455,503.53309999999993,513.7497,506.0416666666667,498.05235000000005,493.8016,503.8977,496.7,508.12772499999994,501.41513333333336,502.15625,502.3757666666667,511.16613333333333,494.8469,513.0472500000001,515.7078,492.31929999999994,513.4645999999999,506.79145,491.68176666666665,398.620875,502.63085,479.50939999999997,505.7692666666667,491.0323,490.7046666666667,488.8013,501.3908666666666,490.2496,503.0797,486.6711,481.0109333333333,477.9844,500.4416,480.69259999999997,486.1789,489.2927333333334,490.8841
23,2021-12-04,11:45:00,489.56850000000003,498.9828,484.6963666666666,502.27520000000004,491.3455666666667,498.08985,490.3742333333333,485.0508,523.9104333333333,514.2929666666668,505.75625,517.425,508.6218666666667,501.7802,497.4687666666667,505.8328333333334,502.50649999999996,512.9508,506.67815,507.9424333333333,508.2942666666667,514.9056499999999,499.81055000000003,519.8117000000001,518.878725,499.9492,518.969,512.3505333333333,496.4875,401.0242,505.21223333333336,481.74805000000003,507.09845,491.69415000000004,490.56379999999996,486.7455333333333,499.62916666666666,488.05833333333334,502.31510000000003,483.5758,477.3883,476.85026666666664,499.5153666666667,474.072275,483.1455,488.3793,490.637
24,2021-12-04,12:00:00,485.25665000000004,494.7661666666666,478.97815,495.09426666666667,490.26210000000003,494.10745,482.8,479.66563333333335,521.8465,516.0002666666667,510.40920000000006,518.3555,509.769325,500.84415,500.37165,504.3555,502.90195,514.0137,506.79414999999995,508.99105,505.74326666666667,514.1219,501.1875,519.4213666666667,521.1632999999999,500.5098,517.2416666666667,512.0133,498.1711,443.25352499999997,504.81755,475.56565,502.7935,486.43944999999997,487.62840000000006,483.4700666666667,500.3906,481.91693333333336,497.74063333333334,483.75585,470.99455,472.0094,495.0161666666666,471.95340000000004,480.7723,482.76303333333334,486.6476333333333
25,2021-12-04,12:15:00,473.5955,482.15573333333333,470.387875,482.47526666666664,477.0343666666667,482.53673333333336,476.5867,468.92709999999994,515.349025,509.3778666666667,500.888,513.2693,501.5976666666667,493.8994666666667,490.80210000000005,497.5653666666667,496.714475,508.11815,499.4246,498.28700000000003,499.2891,505.7285,494.20625,513.1055,512.5992,492.557,510.28120000000007,505.1777,491.592175,478.2755,499.11250000000007,465.3,491.8914333333334,472.2201,474.6015666666667,474.11055,486.419725,470.4526,481.5547,470.8088333333333,466.32012499999996,465.5083333333334,486.54113333333333,456.3125,468.6046666666667,477.9047,475.19816666666674
26,2021-12-04,12:30:00,457.25,469.56719999999996,445.1289,469.7796666666666,460.9705,474.60935,459.38595,455.1028666666666,503.6963333333333,500.42683333333326,493.6816,501.59432499999997,490.338,481.12969999999996,481.01303333333334,487.41795,489.2658666666666,499.7891,489.5945,492.55183333333326,488.91720000000004,499.7,485.24870000000004,507.8867,508.2416666666666,486.46326666666664,501.67423333333335,499.2453,482.04375,469.6966,492.4375,454.03593333333333,480.94455,458.83205,462.6786333333334,462.0109333333333,469.1148666666666,449.9516,473.2703,459.1927,458.1948,453.581075,476.14376666666664,450.3270666666667,453.40155,459.61525,466.67136666666664
27,2021-12-04,12:45:00,448.4375,459.25756666666666,445.2906,457.7612,449.9313,459.3760666666667,448.80155,441.50573333333335,503.0182333333334,496.99350000000004,488.17204999999996,495.8414,488.3191,478.37265,475.3992,481.11016666666666,484.46459999999996,493.3096666666667,484.3901333333333,483.4104,483.2057333333333,491.24575000000004,477.1414,497.4244999999999,500.8666666666666,478.5078,492.9573,492.12855,475.6719,462.7883,486.6492,442.2102,467.43463333333335,449.4981666666666,454.6872333333333,452.356,459.47240000000005,446.6377333333333,461.9703,453.2591333333333,456.08205,444.0281,467.36146666666673,442.3664,447.8953,453.12316666666675,455.7255333333333
28,2021-12-04,13:00:00,437.78342499999997,450.03726666666665,435.56095000000005,449.72265000000004,439.33925000000005,448.55935,441.944125,434.76955,494.7760333333333,491.2325666666666,484.4049333333333,496.16613333333333,481.7784,480.10155,467.29296666666664,474.4544333333333,481.91134999999997,488.2169333333333,479.9518333333333,479.60650000000004,477.89529999999996,487.61095,471.27553333333327,494.20664999999997,494.3195333333333,473.1573,491.06835,485.8005,474.1598,457.68906666666663,485.29685,435.13883333333325,459.5747666666667,439.53383333333335,450.23400000000004,445.9039,453.2543,436.82109999999994,454.5174333333334,447.3957,441.15883333333335,438.5924333333334,460.76914999999997,434.6625,441.5929666666666,442.841,450.3719
29,2021-12-04,13:15:00,422.23555,431.6242666666667,418.66066666666666,431.5559666666666,421.69896666666665,428.69922499999996,418.1544333333333,416.6885333333333,479.02655000000004,478.45550000000003,468.73960000000005,473.87266666666665,465.13100000000003,455.4094,453.75235,462.10470000000004,467.4976333333334,469.34190000000007,458.1672,468.0007666666666,463.17225,474.188675,461.48285,483.6656,489.7582,466.49455,475.60315,475.77006666666665,465.375,448.823,469.6539,414.2429666666667,437.8043,426.4594,427.17185,417.4963666666667,436.15819999999997,413.21254999999996,428.49246666666664,421.6849333333333,420.51773333333335,417.7006,436.07869999999997,412.59490000000005,421.2871,426.4237,431.234975
